,Year,Sales,Growth
0,1970,10210000,0.0
1,1971,12338000,20.84
2,1972,13570000,9.99
3,1973,14573000,7.39
4,1974,11541000,-20.81
5,1975,11102000,-3.8
6,1976,13291000,19.72
7,1977,14858000,11.79
8,1978,15423000,3.8
9,1979,14153000,-8.23
10,1980,11443613,-19.14
11,1981,10777980,-5.82
12,1982,10538362,-2.22
13,1983,14278000,35.49
14,1984,14306000,0.2
15,1985,15359805,7.37
16,1986,15942332,3.79
17,1987,14870725,-6.72
18,1988,15418018,3.68
19,1989,14501107,-5.95
20,1990,13774884,-5.01
21,1991,12301399,-10.7
22,1992,13514000,9.86
23,1993,14679000,8.62
24,1994,15196000,3.52
25,1995,15862000,4.38
26,1996,15097182,-4.82
27,1997,15121721,0.16
28,1998,15543007,2.79
29,1999,16893538,8.69
30,2000,17349755,2.7
31,2001,17122369,-1.31
32,2002,16817550,-1.78
33,2003,16675648,-0.84
34,2004,16913361,1.43
35,2005,16997203,0.5
36,2006,16560989,-2.57
37,2007,16154064,-2.46
38,2008,13245718,-18.0
39,2009,10431510,-21.25
40,2010,11589844,11.1
41,2011,12778885,10.26
42,2012,14492398,13.41
43,2013,15582136,7.52
44,2014,16531070,6.09
45,2015,17470659,5.68
46,2016,17547028,0.44
47,2017,17241387,-1.74
48,2019,17053566,-1.09
49,2020,14575347,-14.53
50,2021,14954805,2.6
51,2022,13688732,-8.47
